,noncountry,geopy
168,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
169,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
170,England,"England, United Kingdom"
171,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
172,England,"England, United Kingdom"
173,Santa Valley,"Santa, Tumauini, Isabela, Cagayan Valley, 3325, Philippines"
174,England,"England, United Kingdom"
175,England,"England, United Kingdom"
176,Holland,Netherlands
177,Holland,Netherlands
178,Holland,Netherlands
179,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
180,Flanders,"Flanders, Belgium"
181,England,"England, United Kingdom"
182,Flanders,"Flanders, Belgium"
183,Holland,Netherlands
184,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
185,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
186,England,"England, United Kingdom"
187,England,"England, United Kingdom"
188,Holland,Netherlands
189,England,"England, United Kingdom"
190,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
191,England,"England, United Kingdom"
192,England,"England, United Kingdom"
193,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
194,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
195,England,"England, United Kingdom"
196,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
197,England,"England, United Kingdom"
198,England,"England, United Kingdom"
199,England,"England, United Kingdom"
200,England,"England, United Kingdom"
201,England,"England, United Kingdom"
202,England,"England, United Kingdom"
203,England,"England, United Kingdom"
204,England,"England, United Kingdom"
205,England,"England, United Kingdom"
206,England,"England, United Kingdom"
207,England,"England, United Kingdom"
208,Staffordshire,"Staffordshire, England, United Kingdom"
209,England,"England, United Kingdom"
210,England,"England, United Kingdom"
211,England,"England, United Kingdom"
212,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
213,England,"England, United Kingdom"
214,England,"England, United Kingdom"
215,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
216,England,"England, United Kingdom"
217,England,"England, United Kingdom"
218,Holland,Netherlands
219,Holland,Netherlands
220,England,"England, United Kingdom"
221,Holland,Netherlands
222,England,"England, United Kingdom"
223,Europe,Europe
224,England,"England, United Kingdom"
225,England,"England, United Kingdom"
226,Holland,Netherlands
227,England,"England, United Kingdom"
228,England,"England, United Kingdom"
229,England,"England, United Kingdom"
230,England,"England, United Kingdom"
231,England,"England, United Kingdom"
232,England,"England, United Kingdom"
233,Unknown Place,"Unknown place, Fikre Mariam Aba Techan Street, Megenagna, Yeka, Addis Ababa, 2310, Ethiopia"
234,Holland,Netherlands
235,Europe,Europe
236,Holland,Netherlands
237,Holland,Netherlands
238,Holland,Netherlands
239,England,"England, United Kingdom"
240,England,"England, United Kingdom"
241,England,"England, United Kingdom"
242,England,"England, United Kingdom"
243,England,"England, United Kingdom"
244,England,"England, United Kingdom"
245,England,"England, United Kingdom"
246,England,"England, United Kingdom"
247,England,"England, United Kingdom"
248,England,"England, United Kingdom"
249,England,"England, United Kingdom"
250,England,"England, United Kingdom"
251,England,"England, United Kingdom"
252,England,"England, United Kingdom"
253,England,"England, United Kingdom"
254,England,"England, United Kingdom"
255,Apulia,"Apulia, Italy"
256,England,"England, United Kingdom"
257,England,"England, United Kingdom"
258,England,"England, United Kingdom"
259,England,"England, United Kingdom"
260,England,"England, United Kingdom"
261,England,"England, United Kingdom"
262,England,"England, United Kingdom"
263,England,"England, United Kingdom"
264,England,"England, United Kingdom"
265,England,"England, United Kingdom"
266,England,"England, United Kingdom"
267,England,"England, United Kingdom"
268,England,"England, United Kingdom"
269,England,"England, United Kingdom"
270,Scotland,"Scotland, United Kingdom"
271,England,"England, United Kingdom"
272,England,"England, United Kingdom"
273,England,"England, United Kingdom"
274,England,"England, United Kingdom"
275,Virginia,"Virginia, United States"
276,New York City,"New York, United States"
277,England,"England, United Kingdom"
278,Newport,"Newport, Newport County, Rhode Island, 02840, United States"
279,England,"England, United Kingdom"
280,England,"England, United Kingdom"
281,England,"England, United Kingdom"
282,England,"England, United Kingdom"
283,Staffordshire,"Staffordshire, England, United Kingdom"
284,England,"England, United Kingdom"
285,England,"England, United Kingdom"
286,Flanders,"Flanders, Belgium"
287,Southern Peru,"Refinería de Cobre de Ilo - Southern Peru, Pacocha, Province of Ilo, Moquegua, Peru"
288,Flanders,"Flanders, Belgium"
289,England,"England, United Kingdom"
290,Southern Peru,"Refinería de Cobre de Ilo - Southern Peru, Pacocha, Province of Ilo, Moquegua, Peru"
291,Europe,Europe
292,England,"England, United Kingdom"
293,Europe,Europe
294,Holland,Netherlands
295,Holland,Netherlands
296,England,"England, United Kingdom"
297,Brussels,"Brussels, Brussels-Capital, Belgium"
298,England,"England, United Kingdom"
299,England,"England, United Kingdom"
300,England,"England, United Kingdom"
301,England,"England, United Kingdom"
302,England,"England, United Kingdom"
303,England,"England, United Kingdom"
304,Flanders,"Flanders, Belgium"
305,England,"England, United Kingdom"
306,Limerick,"Limerick, County Limerick, Munster, Ireland"
307,Europe,Europe
308,Bayeux,"Bayeux, Calvados, Normandy, Metropolitan France, 14400, France"
309,Holland,Netherlands
310,Flanders,"Flanders, Belgium"
311,Holland,Netherlands
312,Brussels,"Brussels, Brussels-Capital, Belgium"
313,Holland,Netherlands
314,England,"England, United Kingdom"
315,Middle East,"Middle East, Baltimore, Maryland, United States"
316,Flanders,"Flanders, Belgium"
317,Flanders,"Flanders, Belgium"
318,Flanders,"Flanders, Belgium"
319,Flanders,"Flanders, Belgium"
320,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
321,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
322,Holland,Netherlands
323,Holland,Netherlands
324,Holland,Netherlands
325,England,"England, United Kingdom"
326,England,"England, United Kingdom"
327,England,"England, United Kingdom"
328,England,"England, United Kingdom"
329,England,"England, United Kingdom"
330,England,"England, United Kingdom"
331,England,"England, United Kingdom"
332,England,"England, United Kingdom"
333,England,"England, United Kingdom"
334,England,"England, United Kingdom"
335,Flanders,"Flanders, Belgium"
336,England,"England, United Kingdom"
337,England,"England, United Kingdom"
338,England,"England, United Kingdom"
339,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
340,Rome,"Rome, Roma Capitale, Lazio, Italy"
341,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
342,England,"England, United Kingdom"
343,England,"England, United Kingdom"
344,England,"England, United Kingdom"
345,New York,"New York, United States"
346,England,"England, United Kingdom"
347,England,"England, United Kingdom"
348,Wales,"Wales, United Kingdom"
349,England,"England, United Kingdom"
350,Scotland,"Scotland, United Kingdom"
351,England,"England, United Kingdom"
352,England,"England, United Kingdom"
353,England,"England, United Kingdom"
354,England,"England, United Kingdom"
355,England,"England, United Kingdom"
356,Bohemia,"Bohemia, North Great River, Town of Islip, Suffolk County, New York, 11716, United States"
357,Pennsylvania,"Pennsylvania, United States"
358,Korea,South Korea
359,Pennsylvania,"Pennsylvania, United States"
360,London,"London, Greater London, England, United Kingdom"
361,Czech Republic,Czechia
362,England,"England, United Kingdom"
363,England,"England, United Kingdom"
364,England,"England, United Kingdom"
365,England,"England, United Kingdom"
366,England,"England, United Kingdom"
367,England,"England, United Kingdom"
368,England,"England, United Kingdom"
369,Istanbul,"Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey"
370,England,"England, United Kingdom"
371,Monte Palatino,"Calle Monte Viminal, Fuentes Del Valle, San Pedro Garza García, Nuevo León, 66266, Mexico"
372,England,"England, United Kingdom"
373,England,"England, United Kingdom"
374,England,"England, United Kingdom"
375,England,"England, United Kingdom"
376,Bucks County,"Bucks County, Pennsylvania, United States"
377,London,"London, Greater London, England, United Kingdom"
378,England,"England, United Kingdom"
379,England,"England, United Kingdom"
380,England,"England, United Kingdom"
381,England,"England, United Kingdom"
382,England,"England, United Kingdom"
383,Southern Peru,"Refinería de Cobre de Ilo - Southern Peru, Pacocha, Province of Ilo, Moquegua, Peru"
384,Southern Peru,"Refinería de Cobre de Ilo - Southern Peru, Pacocha, Province of Ilo, Moquegua, Peru"
385,Ohio,"Ohio, United States"
386,Staffordshire,"Staffordshire, England, United Kingdom"
387,England,"England, United Kingdom"
388,England,"England, United Kingdom"
389,England,"England, United Kingdom"
390,England,"England, United Kingdom"
391,Staffordshire,"Staffordshire, England, United Kingdom"
392,England,"England, United Kingdom"
393,England,"England, United Kingdom"
394,England,"England, United Kingdom"
395,Staffordshire,"Staffordshire, England, United Kingdom"
396,England,"England, United Kingdom"
397,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
398,Staffordshire,"Staffordshire, England, United Kingdom"
399,England,"England, United Kingdom"
400,Staffordshire,"Staffordshire, England, United Kingdom"
401,Sardinia,"Sardinia, Italy"
402,Sardinia,"Sardinia, Italy"
403,Nantes,"Nantes, Loire-Atlantique, Pays de la Loire, Metropolitan France, France"
404,England,"England, United Kingdom"
405,England,"England, United Kingdom"
406,Staffordshire,"Staffordshire, England, United Kingdom"
407,England,"England, United Kingdom"
408,Gloucester,"Gloucester, Gloucestershire, England, United Kingdom"
409,England,"England, United Kingdom"
410,Staffordshire,"Staffordshire, England, United Kingdom"
411,Cuzco,"City of Cuzco, Cuzco, Distrito de Cusco, Province of Cusco, Cusco, Peru"
412,Venice,"Venice, Venezia, Veneto, 30121-30176, Italy"
413,Newport,"Newport, Newport County, Rhode Island, 02840, United States"
414,Chelsea,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom"
415,New York City,"New York, United States"
416,New York City,"New York, United States"
417,New York City,"New York, United States"
418,New York City,"New York, United States"
419,Al Fayyum,"Faiyum, 63523, Egypt"
420,Al Fayyum,"Faiyum, 63523, Egypt"
421,New York City,"New York, United States"
422,New York City,"New York, United States"
423,New York City,"New York, United States"
424,England,"England, United Kingdom"
425,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
426,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
427,Scotland,"Scotland, United Kingdom"
428,Rome,"Rome, Roma Capitale, Lazio, Italy"
429,England,"England, United Kingdom"
430,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
431,England,"England, United Kingdom"
432,Rome,"Rome, Roma Capitale, Lazio, Italy"
433,England,"England, United Kingdom"
434,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
435,England,"England, United Kingdom"
436,England,"England, United Kingdom"
437,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
438,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
439,England,"England, United Kingdom"
440,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
441,England,"England, United Kingdom"
442,Rome,"Rome, Roma Capitale, Lazio, Italy"
443,England,"England, United Kingdom"
444,Massachusetts,"Massachusetts, United States"
445,Rome,"Rome, Roma Capitale, Lazio, Italy"
446,England,"England, United Kingdom"
447,Rome,"Rome, Roma Capitale, Lazio, Italy"
448,Rome,"Rome, Roma Capitale, Lazio, Italy"
449,England,"England, United Kingdom"
450,Rome,"Rome, Roma Capitale, Lazio, Italy"
451,England,"England, United Kingdom"
452,Rome,"Rome, Roma Capitale, Lazio, Italy"
453,England,"England, United Kingdom"
454,Rome,"Rome, Roma Capitale, Lazio, Italy"
455,Carrickmacross,"Carrickmacross, Carrickmacross-Castleblaney Municipal District, County Monaghan, Ulster, Ireland"
456,England,"England, United Kingdom"
457,Rome,"Rome, Roma Capitale, Lazio, Italy"
458,England,"England, United Kingdom"
459,Rome,"Rome, Roma Capitale, Lazio, Italy"
460,Rome,"Rome, Roma Capitale, Lazio, Italy"
461,England,"England, United Kingdom"
462,Rome,"Rome, Roma Capitale, Lazio, Italy"
463,England,"England, United Kingdom"
464,Rome,"Rome, Roma Capitale, Lazio, Italy"
465,Rome,"Rome, Roma Capitale, Lazio, Italy"
466,England,"England, United Kingdom"
467,Rome,"Rome, Roma Capitale, Lazio, Italy"
468,England,"England, United Kingdom"
469,Rome,"Rome, Roma Capitale, Lazio, Italy"
470,England,"England, United Kingdom"
471,England,"England, United Kingdom"
472,Rome,"Rome, Roma Capitale, Lazio, Italy"
473,England,"England, United Kingdom"
474,Rome,"Rome, Roma Capitale, Lazio, Italy"
475,England,"England, United Kingdom"
476,Rome,"Rome, Roma Capitale, Lazio, Italy"
477,England,"England, United Kingdom"
478,Rome,"Rome, Roma Capitale, Lazio, Italy"
479,Rome,"Rome, Roma Capitale, Lazio, Italy"
480,England,"England, United Kingdom"
481,Rome,"Rome, Roma Capitale, Lazio, Italy"
482,England,"England, United Kingdom"
483,Rome,"Rome, Roma Capitale, Lazio, Italy"
484,England,"England, United Kingdom"
485,Rome,"Rome, Roma Capitale, Lazio, Italy"
486,England,"England, United Kingdom"
487,Rome,"Rome, Roma Capitale, Lazio, Italy"
488,England,"England, United Kingdom"
489,Rome,"Rome, Roma Capitale, Lazio, Italy"
490,England,"England, United Kingdom"
491,Rome,"Rome, Roma Capitale, Lazio, Italy"
492,Rome,"Rome, Roma Capitale, Lazio, Italy"
493,England,"England, United Kingdom"
494,Rome,"Rome, Roma Capitale, Lazio, Italy"
495,England,"England, United Kingdom"
496,England,"England, United Kingdom"
497,Rome,"Rome, Roma Capitale, Lazio, Italy"
498,Rome,"Rome, Roma Capitale, Lazio, Italy"
499,England,"England, United Kingdom"
500,Indiana,"Indiana, United States"
501,Rome,"Rome, Roma Capitale, Lazio, Italy"
502,England,"England, United Kingdom"
503,Rome,"Rome, Roma Capitale, Lazio, Italy"
504,England,"England, United Kingdom"
505,England,"England, United Kingdom"
506,Rome,"Rome, Roma Capitale, Lazio, Italy"
507,Rome,"Rome, Roma Capitale, Lazio, Italy"
508,England,"England, United Kingdom"
509,Rome,"Rome, Roma Capitale, Lazio, Italy"
510,England,"England, United Kingdom"
511,Rome,"Rome, Roma Capitale, Lazio, Italy"
512,England,"England, United Kingdom"
513,Rome,"Rome, Roma Capitale, Lazio, Italy"
514,Rome,"Rome, Roma Capitale, Lazio, Italy"
515,England,"England, United Kingdom"
516,Rome,"Rome, Roma Capitale, Lazio, Italy"
517,England,"England, United Kingdom"
518,England,"England, United Kingdom"
519,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
520,Istanbul,"Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey"
521,England,"England, United Kingdom"
522,Macedonia,North Macedonia
523,England,"England, United Kingdom"
524,Bergama,"Bergama, Izmir, Aegean Region, Turkey"
525,England,"England, United Kingdom"
526,England,"England, United Kingdom"
527,England,"England, United Kingdom"
528,England,"England, United Kingdom"
529,Knossos,"Knossos Palace, Κνωσσού - Πεζών, 4th Community of Heraklion - South, Heraklion Municipal Unit, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 714 09, Greece"
530,England,"England, United Kingdom"
531,Taranto,"Taranto, Apulia, Italy"
532,England,"England, United Kingdom"
533,Kavála,"Kavala, Kavala Municipality, Kavala Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, 653 02, Greece"
534,England,"England, United Kingdom"
535,Oria,"Oria, Valle del Almanzora, Almeria, Andalusia, 04811, Spain"
536,Samnium,"Ingresso Samnium Resort et Suites, Rione Tavernola, Paolisi, Benevento, Campania, 82011, Italy"
537,England,"England, United Kingdom"
538,Levkás,"Levkas, Kamares, Κοινότητα Τάλας, Paphos District, Cyprus, 8577, Cyprus"
539,England,"England, United Kingdom"
540,Kavála,"Kavala, Kavala Municipality, Kavala Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, 653 02, Greece"
541,England,"England, United Kingdom"
542,Pella,"Pella, Novara, Piedmont, Italy"
543,England,"England, United Kingdom"
544,Ephesus,"Ephesus, Meryem Ana Yolu, Atatürk Mahallesi, Selçuk, Izmir, Aegean Region, 35920, Turkey"
545,England,"England, United Kingdom"
546,England,"England, United Kingdom"
547,England,"England, United Kingdom"
548,England,"England, United Kingdom"
549,Antioch,"Antioch, Contra Costa County, California, United States"
550,Khorasan,"Khorasan, دهستان نجف آباد, بخش مرکزی بیجار, Bijar County, Kurdistan Province, Iran"
551,England,"England, United Kingdom"
552,Alexandria,"Alexandria, 21519, Egypt"
553,England,"England, United Kingdom"
554,Alexandria,"Alexandria, 21519, Egypt"
555,England,"England, United Kingdom"
556,England,"England, United Kingdom"
557,England,"England, United Kingdom"
558,Staffordshire,"Staffordshire, England, United Kingdom"
559,Staffordshire,"Staffordshire, England, United Kingdom"
560,Staffordshire,"Staffordshire, England, United Kingdom"
561,Tlatilco,"Tlatilco, Valle de Huinala II, Apodaca, Nuevo León, 66634, Mexico"
562,Chupícuaro,"Chupícuaro, Quiroga, Michoacán, 58430, Mexico"
563,Staffordshire,"Staffordshire, England, United Kingdom"
564,Oaxaca state,"Oaxaca, Las Américas II, Fraccionamiento Las Américas, Ecatepec de Morelos, State of Mexico, 55070, Mexico"
565,Oaxaca state,"Oaxaca, Las Américas II, Fraccionamiento Las Américas, Ecatepec de Morelos, State of Mexico, 55070, Mexico"
566,Oaxaca state,"Oaxaca, Las Américas II, Fraccionamiento Las Américas, Ecatepec de Morelos, State of Mexico, 55070, Mexico"
567,Democratic Republic of the Congo,Democratic Republic of the Congo
568,Veracruz state,"Veracruz, Santa Ana del Táchira, Parroquia Santa Ana, Municipio Córdoba, Tachira State, 5051, Venezuela"
569,Leeds,"Leeds, West Yorkshire, England, United Kingdom"
570,England,"England, United Kingdom"
571,Illinois,"Illinois, United States"
572,England,"England, United Kingdom"
573,England,"England, United Kingdom"
574,England,"England, United Kingdom"
575,Shelton,"Shelton, Naugatuck Valley Planning Region, Connecticut, 06484, United States"
576,England,"England, United Kingdom"
577,Scotland,"Scotland, United Kingdom"
578,Staffordshire,"Staffordshire, England, United Kingdom"
579,England,"England, United Kingdom"
