,Unnamed: 0,title,department,accession_year,country,continent,location
38340,38340,"Shinn, Sacramento, Pacific Coast League, from the ""Obak Baseball Players"" set (T212), issued by the American Tobacco Company to promote Obak Mouthpiece Cigarettes",Drawings and Prints,1963.0,,,MET
257319,257319,Florilège des Amours de Ronsard,Prints and Drawings,,France,Europe,AIC
256324,256324,Eugenie Marie de Montijo de Guzman and Napoleon III,Photography and Media,1982.0,France,Europe,AIC
169476,169476,Man and Female Nude Leaning on a Chair,Contemporary Art,,United States,North America,AIC
38861,38861,Decanter with stopper,The American Wing,2008.0,United States,North America,MET
145818,145818,Pictorial print,European Sculpture and Decorative Arts,1913.0,France,Europe,MET
157507,157507,Cap,Textiles,1926.0,France,Europe,AIC
63887,63887,Scarab,Egyptian Art,1926.0,Egypt,Africa,MET
43983,43983,"John E. ""Scrappy"" Carroll, Right Field, St. Paul Apostles, from the Old Judge series (N172) for Old Judge Cigarettes",Drawings and Prints,1963.0,,,MET
88313,88313,Wine Glass,The American Wing,1913.0,United Kingdom,Europe,MET
62511,62511,Border,European Sculpture and Decorative Arts,1908.0,Italy,Europe,MET
173571,173571,Irish Decency ! ! ! no. 2,Prints and Drawings,1942.0,United Kingdom,Europe,AIC
69417,69417,"[Piazza Navona, Rome]",Photographs,1946.0,,,MET
204038,204038,Composition,Prints and Drawings,,Italy,Europe,AIC
71263,71263,"Card Number 506, John D'Acquisto, San Diego Padres",Drawings and Prints,2016.0,United States,North America,MET
191434,191434,"The Skiapods: ""The head as low as possible, that is the secret of happiness!"", plate 6 of 6",Prints and Drawings,,France,Europe,AIC
119602,119602,A Homestead: an old woman driving a pig,Drawings and Prints,1953.0,United Kingdom,Europe,MET
133066,133066,Untitled,Modern and Contemporary Art,1983.0,United States,North America,MET
22996,22996,Passio/ Domini nostri Iesu Christi/ New-coelatis iconibus expressa./ . . .,Drawings and Prints,1956.0,Germany,Europe,MET
94797,94797,Terracotta fragments of a stamnos (jar),Greek and Roman Art,2011.0,Greece,Europe,MET
153047,153047,Healing of the Paralytic,Prints and Drawings,1921.0,Germany,Europe,AIC
1180,1180,Pendant of an ibis wearing an atef crown,Egyptian Art,2021.0,Egypt,Africa,MET
32600,32600,Semiotexte,The Libraries,,,,MET
119061,119061,Terracotta krater,Greek and Roman Art,1914.0,Greece,Europe,MET
28803,28803,"Interior with Pink Wallpaper II, from the series ""Landscapes and Interiors""",Drawings and Prints,1925.0,France,Europe,MET
227610,227610,Litho #2 (Waves #2),Prints and Drawings,1997.0,United States,North America,AIC
190044,190044,Dish,Applied Arts of Europe,,United States,North America,AIC
121547,121547,Corset,Costume Institute,1951.0,United States,North America,MET
214009,214009,Palm Springs 8,Photography and Media,1992.0,United States,North America,AIC
198835,198835,Compote,Arts of the Americas,1990.0,United States,North America,AIC
165064,165064,"Evening Snow on Mt. Hira (Hira no bosetsu), No. 6 from the series ""Eight Views of Omi""",Arts of Asia,,Japan,Asia,AIC
135198,135198,"Card 1, Lion, from the Animals series (N385, Type 1), issued by Spaulding & Merrick to promote Sweet F.O.B. Tobacco",Drawings and Prints,1963.0,,,MET
209158,209158,Green and Aubergine-glazed Dish (Susancai),Arts of Asia,1941.0,China,Asia,AIC
211141,211141,Hounds Chasing Fox into Hole,Prints and Drawings,1990.0,United Kingdom,Europe,AIC
131872,131872,George Washington,The American Wing,1883.0,United Kingdom,Europe,MET
267671,267671,"23rd Player, White City, Jabavu",Photography and Media,2023.0,South Africa,Africa,AIC
184210,184210,Arabian Fantasy,Prints and Drawings,1949.0,France,Europe,AIC
75698,75698,S-Shaped Brooch,Medieval Art,1992.0,United Kingdom,Europe,MET
201180,201180,"McDonald's Corporation Headquarters Office Campus, Oakbrook, Illinois, Elevation",Architecture and Design,,United States,North America,AIC
104664,104664,Ranasringa,Musical Instruments,1889.0,India,Asia,MET
193511,193511,Roman Soldiers Arresting Saint Peter (?),Prints and Drawings,1921.0,Italy,Europe,AIC
268973,268973,"he Martyrdom of St Matthew, from The Martyrdom of Christ and the Apostles",Prints and Drawings,2023.0,Netherlands,Europe,AIC
64464,64464,"La Vera Perfettione del Disegno di varie sorti di recami, page 26 (verso)",Drawings and Prints,1921.0,Italy,Europe,MET
176469,176469,"Untitled (Garrick Theater, Exterior before Demolition)",Photography and Media,,United States,North America,AIC
23007,23007,Uniform bonnet,Costume Institute,1940.0,United States,North America,MET
257705,257705,Ehon Tsukuba Yama,Arts of Asia,2023.0,Japan,Asia,AIC
95280,95280,Lilies,Drawings and Prints,1931.0,United States,North America,MET
128444,128444,Ecce Homo,Drawings and Prints,1951.0,Italy,Europe,MET
211130,211130,View of a Castle by Moonlight,Prints and Drawings,1990.0,United Kingdom,Europe,AIC
43070,43070,Listing tape,The American Wing,,United States,North America,MET
