,Unnamed: 0,title,accession_year,department,listed_country,culture,artist_nationality,region,combined_country,country,continent
140657,140657,Helmet with Crest,1936.0,Arms and Armor,,Japanese,,,Japanese,Japan,Asia
90708,90708,Carpet with landscapes,1976.0,European Sculpture and Decorative Arts,,"French, Paris", |French,,French,France,Europe
110794,110794,Ornamental frame with eagle and two figures,1963.0,Drawings and Prints,,,German,,German,Germany,Europe
49141,49141,"Joseph and the Wife of Potiphar, from Alcôves à la romaine, plate 4, bound in Oeuvres. Vol. I",1933.0,Drawings and Prints,,,French|French,,French,France,Europe
37679,37679,Oinochoe,1906.0,Greek and Roman Art,,"Greek, Attic", ,,Greek,Greece,Europe
84933,84933,View of the City of New York in North America,1924.0,Drawings and Prints,,,French|British|British,,French,France,Europe
49596,49596,"Design for a Monumental Altar, Plate h from 'Unterschiedliche Neu Inventierte Altäre mit darzu gehörigen Profillen u. Grundrißen.'",2014.0,Drawings and Prints,,,German|German,,German,Germany,Europe
146250,146250,"Bell rubbing with half-length Virgin and Child, from City Church, Pößneck, Germany",1952.0,Drawings and Prints,,,,,,,
61045,61045,Terracotta rim fragment of a kylix (drinking cup),2011.0,Greek and Roman Art,,"Greek, Attic",,,Greek,Greece,Europe
259,259,New York Bay and The Narrows,1954.0,Drawings and Prints,,,"American, born Germany|French|French|French",,American,United States,North America
140673,140673,Sword Guard (Tsuba),1936.0,Arms and Armor,,Japanese,,,Japanese,Japan,Asia
79190,79190,"The Defence of the Citadel of Antwerp for a Year Against the French, Fell December 23, 1832",1907.0,European Sculpture and Decorative Arts,,Dutch,Dutch,,Dutch,Netherlands,Europe
5167,5167,Mug,1933.0,The American Wing,United States,American,American,,United States,United States,North America
60149,60149,"278.- Birds Eye view of Ithaca, New York, Looking East",1963.0,Photographs,,,American| ,,American,United States,North America
87910,87910,Trinket Chest,1945.0,The American Wing,United States,American,,New England ,United States,United States,North America
6212,6212,Handkerchief,2009.0,Costume Institute,,American,,,American,United States,North America
59455,59455,Vase with peacock feathers,2013.0,European Sculpture and Decorative Arts,,"French, Paris",French,,French,France,Europe
35896,35896,Kaftan,1941.0,Islamic Art,Syria,,,,Syria,Syria,Asia
53820,53820,女用訓蒙図彙|Onna yōkin mō zui (illustrated vocabulary for women),2018.0,Asian Art,,Japan,,,Japan,Japan,Asia
145243,145243,Scotland,1950.0,The American Wing,,American,American,,American,United States,North America
65665,65665,Cup (part of a service),1995.0,European Sculpture and Decorative Arts,,"Italian, Naples",Italian,,Italian,Italy,Europe
16817,16817,,1965.0,Asian Art,,China,,,China,China,Asia
2179,2179,[Old Man with Boy],1987.0,Photographs,,,American,,American,United States,North America
87832,87832,Sugar bowl (one of four) (part of a service),1937.0,European Sculpture and Decorative Arts,,"French, Sèvres",French|French,,French,France,Europe
96933,96933,Snuffbox,1917.0,European Sculpture and Decorative Arts,,possibly Austrian, ,,Austrian,Austria,Europe
38016,38016,Charlie O'Connell from Boxers Exhibits series (W467),1963.0,Drawings and Prints,,, ,,,,
100873,100873,"Portrait of a woman, seated, with her elbow resting on her knee, from the ""Girls"" series (T66), issued with Hunter Dog Cigarros by S. Monday & Sons",1963.0,Drawings and Prints,,,American,,American,United States,North America
65041,65041,Armand Bertin,2012.0,Drawings and Prints,,,French,,French,France,Europe
113274,113274,"Into the Woods, Winter, from ""Into the Woods""",2010.0,Modern and Contemporary Art,,,British,,British,United Kingdom,Europe
3001,3001,Dress,1978.0,Costume Institute,,French,,,French,France,Europe
61115,61115,Ribbon,1936.0,European Sculpture and Decorative Arts,,French,,,French,France,Europe
76980,76980,"Phrygian Sibyl, from the series of Sibyls",1937.0,Drawings and Prints,,,Netherlandish,,Netherlandish,Netherlands,Europe
22472,22472,Subiaco,2003.0,European Paintings,,,French,,French,France,Europe
55292,55292,Perusiana matrona nobilis in Italia; Nobilis Matrona Florentina; Nobilis matrona Parmensis; Vidua Senensis,1921.0,Drawings and Prints,,,Netherlandish|Flemish,,Netherlandish,Netherlands,Europe
127242,127242,Miniature daybed (part of a set),1963.0,European Sculpture and Decorative Arts,,"British, London",British,,British,United Kingdom,Europe
107643,107643,Terracotta fragment of a kylix (drinking cup),2011.0,Greek and Roman Art,,"Greek, Attic",,,Greek,Greece,Europe
59541,59541,"[Stone Town House with Cast-Iron Balconies and Fence in French Quarter, Esplanade Avenue, New Orleans, Louisiana]",1994.0,Photographs,,,American,,American,United States,North America
67152,67152,,1929.0,Asian Art,,Japan,Japanese,,Japan,Japan,Asia
19495,19495,Medal,1883.0,The American Wing,United States,American,,,United States,United States,North America
6781,6781,[Woman],1947.0,Photographs,,, ,,,,
127222,127222,A Native Village,1924.0,Drawings and Prints,,,American,,American,United States,North America
42312,42312,"Gino Severini, calling card",1983.0,Drawings and Prints,,, ,,,,
